date,StockID,close,变动日,信用等级
2020-01-02 09:25:00,SH110031,124.45,20210525,AAA
2020-01-02 09:25:00,SH110033,115.9,20210521,AAA
2020-01-02 09:25:00,SH110034,108.65,20210625,AA+
2020-01-02 09:25:00,SH110038,107.43,20220606,AA
2020-01-02 09:25:00,SH110041,117.56,20210624,AAA
2020-01-02 09:25:00,SH110042,119.36,20200520,AAA
2020-01-02 09:25:00,SH110043,110.99,20230526,AA+
2020-01-02 09:25:00,SH110044,141.95,20231229,AA
2020-01-02 09:25:00,SH110045,102.2,20230601,AA+
2020-01-02 09:25:00,SH110047,121.62,20241024,AA
2020-01-02 09:25:00,SH110048,121.27,20240612,AA+
2020-01-02 09:25:00,SH110050,126.4,20190606,AA
2020-01-02 09:25:00,SH110051,111.4,20210804,AA+
2020-01-02 09:25:00,SH110052,117.44,20240626,AA+
2020-01-02 09:25:00,SH110053,118.24,20230619,AAA
2020-01-02 09:25:00,SH110055,114.2,20240620,AA
2020-01-02 09:25:00,SH110056,119.5,20220623,AA+
2020-01-02 09:25:00,SH110057,111.28,20230526,AAA
2020-01-02 09:25:00,SH110058,104.7,20240612,AA-
2020-01-02 09:25:00,SH110059,109.8,20250526,AAA
2020-01-02 09:25:00,SH110060,118.74,20250609,AA
2020-01-02 09:25:00,SH110061,121.46,20230619,AAA
2020-01-02 09:25:00,SH110062,127.0,20250625,AAA
2020-01-02 09:25:00,SH113008,116.5,20200515,AAA
2020-01-02 09:25:00,SH113009,117.21,20210524,AAA
2020-01-02 09:25:00,SH113011,125.3,20220523,AAA
2020-01-02 09:25:00,SH113012,105.95,20210610,AA
2020-01-02 09:25:00,SH113013,124.85,20230522,AAA
2020-01-02 09:25:00,SH113014,101.88,20210621,AA
2020-01-02 09:25:00,SH113016,99.76,20220805,AA-
2020-01-02 09:25:00,SH113017,100.48,20230621,AA+
2020-01-02 09:25:00,SH113019,129.4,20200605,AA+
2020-01-02 09:25:00,SH113020,128.88,20200608,AA+
2020-01-02 09:25:00,SH113021,113.93,20240513,AAA
2020-01-02 09:25:00,SH113022,119.35,20200514,AAA
2020-01-02 09:25:00,SH113024,106.52,20240620,AAA
2020-01-02 09:25:00,SH113025,115.63,20230619,AA
2020-01-02 09:25:00,SH113026,108.2,20210623,AAA
2020-01-02 09:25:00,SH113027,107.96,20230626,A
2020-01-02 09:25:00,SH113028,121.59,20200609,AAA
